domain	rule_type	scope	status	source	evidence	risk	notes
docs.coca.xyz	HOST	support	confirmed	https://docs.coca.xyz/	Official COCA product and feature documentation host.	low	Covered by HOST-SUFFIX coca.xyz and therefore not emitted separately.
freshdesk.com	HOST-SUFFIX	shared-third-party	excluded	https://help.coca.xyz/	COCA support is hosted by Freshworks helpdesk infrastructure.	high	The vendor root is shared across many tenants.
freshworks.com	HOST-SUFFIX	shared-third-party	excluded	https://help.coca.xyz/	The official help center loads shared Freshworks services.	high	The vendor root is not COCA dedicated.
gauntlet.xyz	HOST-SUFFIX	web3	excluded	https://docs.coca.xyz/	Official COCA documentation discusses a shared external risk-management provider.	high	The provider root is not COCA dedicated.
gitbook.com	HOST-SUFFIX	shared-third-party	excluded	https://docs.coca.xyz/	The official documentation is hosted on GitBook.	high	The documentation platform root is shared across customers.
help.coca.xyz	HOST	support	confirmed	https://help.coca.xyz/	Official COCA public help center and ticket entry point.	low	Covered by HOST-SUFFIX coca.xyz and therefore not emitted separately.
intercom.io	HOST-SUFFIX	shared-third-party	excluded	https://github.com/PakandAlive/Folder/blob/f00098f1746961916b8c23bfe5fd2e100b3a2901/rules/COCA.list	A public personal rule associates shared support infrastructure with COCA.	high	Shared customer-support platforms must not enter formal rules.
ipify.org	HOST-SUFFIX	shared-third-party	excluded	https://github.com/PakandAlive/Folder/blob/f00098f1746961916b8c23bfe5fd2e100b3a2901/rules/COCA.list	A public personal rule associates a public IP lookup provider with COCA.	high	Generic network lookup traffic is shared across applications.
ipregistry.co	HOST-SUFFIX	shared-third-party	excluded	https://github.com/PakandAlive/Folder/blob/f00098f1746961916b8c23bfe5fd2e100b3a2901/rules/COCA.list	A public personal rule associates a shared IP geolocation provider with COCA.	high	Provider-wide geolocation traffic is excluded.
mastercard.com	HOST-SUFFIX	card	excluded	https://help.coca.xyz/support/solutions/articles/205000042687-virtual-card-and-physical-card	Official support material describes card-network acceptance.	high	Shared card-scheme traffic must remain outside an app-specific rule.
morpho.org	HOST-SUFFIX	web3	excluded	https://docs.coca.xyz/	Official COCA documentation describes integration with a shared DeFi protocol.	high	A public protocol root must not enter the app-specific rule.
one.wirexapp.com	HOST	wirexone	excluded	https://one.wirexapp.com/	This is the public Wirex One application entry point.	high	Wirex One is independently maintained and must not be merged into COCA.
onesignal.com	HOST-SUFFIX	shared-third-party	excluded	https://github.com/PakandAlive/Folder/blob/f00098f1746961916b8c23bfe5fd2e100b3a2901/rules/COCA.list	A public personal rule associates shared push infrastructure with COCA.	high	Shared notification platforms must not enter formal rules.
parastorage.com	HOST-SUFFIX	shared-third-party	excluded	https://www.coca.xyz/	The official website loads shared Wix storage resources.	high	The website-builder storage root is shared across customers.
play.google.com	HOST	shared-third-party	excluded	https://play.google.com/store/apps/details	The official Android listing identifies COCA by package com.wirex.wallet and developer CCA LABS.	high	Google Play is shared by every Android application.
privy.io	HOST-SUFFIX	authentication	excluded	https://www.coca.xyz/terms	COCA terms describe third-party wallet technology categories but no dedicated Privy host.	high	Shared identity and key-management infrastructure is prohibited.
s3.eu-central-1.amazonaws.com	HOST	shared-third-party	excluded	https://help.coca.xyz/	The official help center references shared object storage.	high	No COCA-dedicated hostname is present.
spatium.net	HOST-SUFFIX	shared-third-party	historical	https://www.coca.xyz/terms	The wallet terms contain a historical technology-partner privacy reference.	high	A partner reference does not prove current COCA runtime traffic.
static-2v.gitbook.com	HOST	shared-third-party	excluded	https://docs.coca.xyz/	The official documentation loads static assets from this GitBook host.	high	Shared documentation CDN traffic is excluded.
static.wixstatic.com	HOST	shared-third-party	excluded	https://www.coca.xyz/	The official marketing site loads generic Wix static assets.	high	The host is shared and not a dedicated COCA tenant.
status.coca.xyz	HOST	status	confirmed	https://status.coca.xyz/	Public status page titled Coca Wallet Status.	low	Covered by HOST-SUFFIX coca.xyz and therefore not emitted separately.
statuspage.io	HOST-SUFFIX	shared-third-party	excluded	https://status.coca.xyz/	The COCA status page uses shared Atlassian Statuspage services.	high	The provider root serves many unrelated services.
sumsub.com	HOST-SUFFIX	authentication	excluded	https://help.coca.xyz/support/solutions/articles/205000042704-how-do-i-order-a-coca-card-	Official support describes identity verification but does not establish a COCA-only vendor host.	high	Shared KYC platforms must not enter the main rule.
vault-service-eu.freshworks.com	HOST	shared-third-party	excluded	https://help.coca.xyz/	The official support portal loads a shared Freshworks vault service.	high	The host is vendor infrastructure rather than a COCA tenant.
visa.com	HOST-SUFFIX	card	excluded	https://docs.coca.xyz/coca/banking-account/coca-card	Official documentation describes Visa card acceptance.	high	Shared card-scheme traffic must remain outside an app-specific rule.
walletconnect.com	HOST-SUFFIX	walletconnect	excluded	https://help.coca.xyz/support/solutions/205000041757	Official guides document WalletConnect functionality without identifying a dedicated COCA hostname.	high	The shared WalletConnect root is prohibited.
wirex.app.link	HOST	classic-wirex	excluded	https://help.wirexapp.com/	Wirex public help configuration references this brand-specific Branch deep-link host.	high	It is not proven to be a COCA-dedicated endpoint.
wirexapp.com	HOST-SUFFIX	wirex-shared	confirmed	https://help.coca.xyz/support/solutions/articles/205000042687-virtual-card-and-physical-card	Official COCA support confirms a card collaboration with Wirex.	high	The root serves multiple Wirex products and is explicitly excluded from COCA.
wirexapp.tech	HOST-SUFFIX	wirex-shared	excluded	https://docs.wirexapp.com/docs/environments	Wirex documentation identifies this as BaaS sandbox infrastructure.	high	Sandbox partner infrastructure is not confirmed for the COCA consumer app.
wirexone.freshdesk.com	HOST	wirexone	excluded	https://www.wirexapp.com/	Wirex links this dedicated Wirex One support tenant.	high	It belongs to the separately maintained Wirex One product.
wirexpaychain.com	HOST-SUFFIX	wirex-shared	needs-review	https://partner.wirexpaychain.com/	Wirex Pay developer documentation uses this partner infrastructure root.	high	No public evidence establishes COCA consumer-app use.
wix.com	HOST-SUFFIX	shared-third-party	excluded	https://www.coca.xyz/	The official website is served through Wix components.	high	The shared website-builder root is excluded.
wixapps.net	HOST-SUFFIX	shared-third-party	excluded	https://www.coca.xyz/	The official website loads shared Wix application components.	high	The platform root is shared across customers.
wixstatic.com	HOST-SUFFIX	shared-third-party	excluded	https://www.coca.xyz/	The official website loads shared Wix static resources.	high	The shared CDN root is excluded.
wwallet.app.link	HOST	coca-core	confirmed	https://wwallet.app.link/apple-app-site-association	Public Apple and Android association files bind this exact Branch tenant to com.wirex.wallet; its iOS redirect targets App Store ID 1594165139.	low	Approved exact deep-link host; the shared app.link parent remains excluded.
www-coca-xyz.filesusr.com	HOST	shared-third-party	excluded	https://www.coca.xyz/	The official COCA website directly loads assets from this brand-specific Wix tenant host.	medium	It is a website asset host rather than confirmed COCA app core traffic.
www.coca.xyz	HOST	coca-core	confirmed	https://www.coca.xyz/	Official COCA marketing legal cards privacy and blog host.	low	Covered by HOST-SUFFIX coca.xyz and therefore not emitted separately.
