domain	rule_type	scope	status	source	evidence	risk	notes
r.unimhk.com	HOST	shared	excluded	https://www.clubsim.com.hk/static/js/main.b2f95a91.js	Referenced by a Club Sim official public script.	high	Shared identity, analytics, platform, telecom-group or infrastructure host.
reactjs.org	HOST	shared	excluded	https://www.clubsim.com.hk/clsecomm/static/js/main.b92e0cbd.js	Referenced by a Club Sim official public script.	high	Shared identity, analytics, platform, telecom-group or infrastructure host.
recaptcha.net	HOST	shared	excluded	https://www.clubsim.com.hk/clsecomm/static/js/main.b92e0cbd.js	Referenced by a Club Sim official public script.	high	Shared identity, analytics, platform, telecom-group or infrastructure host.
redeem.theclub.com.hk	HOST	shared	excluded	https://www.clubsim.com.hk/clsecomm/static/js/main.b92e0cbd.js	Referenced by a Club Sim official public script.	high	Shared identity, analytics, platform, telecom-group or infrastructure host.
rnr.hkcsl.com	HOST	shared	excluded	https://www.clubsim.com.hk/en/app.js	Referenced by a Club Sim official public script.	high	Shared identity, analytics, platform, telecom-group or infrastructure host.
sdeweb.hkcsl.com	HOST	shared	excluded	https://www.clubsim.com.hk/en/app.js	Referenced by a Club Sim official public script.	high	Shared identity, analytics, platform, telecom-group or infrastructure host.
ss.epdg.epc.geo.mnc000.mcc454.pub.3gppnetwork.org	HOST	network	optional	https://raw.githubusercontent.com/ClearLuv/iOS_collecton/main/Rule/ClubSim.list	Current public ClubSim network rule.	medium	Optional eSIM, ePDG or operator network service; not an App API.
ss.epdg.epc.mnc000.mcc454.pub.3gppnetwork.org	HOST	network	optional	https://raw.githubusercontent.com/ClearLuv/iOS_collecton/main/Rule/ClubSim.list	Current public ClubSim network rule.	medium	Optional eSIM, ePDG or operator network service; not an App API.
support.apple.com	HOST	shared	excluded	https://www.clubsim.com.hk/clsecomm/static/js/main.b92e0cbd.js	Referenced by a Club Sim official public script.	high	Shared identity, analytics, platform, telecom-group or infrastructure host.
support.google.com	HOST	shared	excluded	https://www.clubsim.com.hk/static/js/main.b2f95a91.js	Referenced by a Club Sim official public script.	high	Shared identity, analytics, platform, telecom-group or infrastructure host.
t.campaign.hkcsl.com	HOST	shared	excluded	https://www.clubsim.com.hk/clsecomm/static/js/main.b92e0cbd.js	Referenced by a Club Sim official public script.	high	Shared identity, analytics, platform, telecom-group or infrastructure host.
www.1010-lifestyle.com	HOST	shared	excluded	https://www.clubsim.com.hk/clsecomm/static/js/main.b92e0cbd.js	Referenced by a Club Sim official public script.	high	Shared identity, analytics, platform, telecom-group or infrastructure host.
www.1010.com.hk	HOST	shared	excluded	https://www.clubsim.com.hk/clsecomm/static/js/main.b92e0cbd.js	Referenced by a Club Sim official public script.	high	Shared identity, analytics, platform, telecom-group or infrastructure host.
www.cahk.hk	HOST	shared	excluded	https://www.clubsim.com.hk/en/app.js	Referenced by a Club Sim official public script.	high	Shared identity, analytics, platform, telecom-group or infrastructure host.
www.citibank.com.hk	HOST	shared	excluded	https://www.clubsim.com.hk/clsecomm/static/js/main.b92e0cbd.js	Referenced by a Club Sim official public script.	high	Shared identity, analytics, platform, telecom-group or infrastructure host.
www.clubsim.com	HOST	unknown	excluded	https://www.clubsim.com.hk/clsecomm/static/js/main.b92e0cbd.js	Referenced by a Club Sim official public script.	medium	Stale script link is paired with an actual clubsim.com.hk destination.
www.facebook.com	HOST	shared	excluded	https://www.clubsim.com.hk/en/login	Referenced by a Club Sim official public page.	high	Shared identity, analytics, platform, telecom-group or infrastructure host.
www.google-analytics.com	HOST	shared	excluded	https://www.clubsim.com.hk/clsecomm/static/js/main.b92e0cbd.js	Referenced by a Club Sim official public script.	high	Shared identity, analytics, platform, telecom-group or infrastructure host.
www.googletagmanager.com	HOST	shared	excluded	https://www.clubsim.com.hk/	Referenced by a Club Sim official public page.	high	Shared identity, analytics, platform, telecom-group or infrastructure host.
www.hkcsl-5g.com	HOST	shared	excluded	https://www.clubsim.com.hk/static/js/main.b2f95a91.js	Referenced by a Club Sim official public script.	high	Shared identity, analytics, platform, telecom-group or infrastructure host.
www.hkcsl.com	HOST	shared	excluded	https://www.clubsim.com.hk/clsecomm/static/js/main.b92e0cbd.js	Referenced by a Club Sim official public script.	high	Shared identity, analytics, platform, telecom-group or infrastructure host.
www.hkt.com	HOST	shared	excluded	https://www.clubsim.com.hk/en/login	Referenced by a Club Sim official public page.	high	Shared identity, analytics, platform, telecom-group or infrastructure host.
www.hktcare.com	HOST	shared	excluded	https://www.clubsim.com.hk/en/app.js	Referenced by a Club Sim official public script.	high	Shared identity, analytics, platform, telecom-group or infrastructure host.
www.i-guard.hk	HOST	shared	excluded	https://www.clubsim.com.hk/clsecomm/static/js/main.b92e0cbd.js	Referenced by a Club Sim official public script.	high	Shared identity, analytics, platform, telecom-group or infrastructure host.
www.instagram.com	HOST	shared	excluded	https://www.clubsim.com.hk/en/login	Referenced by a Club Sim official public page.	high	Shared identity, analytics, platform, telecom-group or infrastructure host.
www.klook.com	HOST	shared	excluded	https://www.clubsim.com.hk/clsecomm/static/js/main.b92e0cbd.js	Referenced by a Club Sim official public script.	high	Shared identity, analytics, platform, telecom-group or infrastructure host.
www.mozilla.org	HOST	shared	excluded	https://www.clubsim.com.hk/static/js/main.b2f95a91.js	Referenced by a Club Sim official public script.	high	Shared identity, analytics, platform, telecom-group or infrastructure host.
www.nowe.com	HOST	shared	excluded	https://www.clubsim.com.hk/static/js/main.b2f95a91.js	Referenced by a Club Sim official public script.	high	Shared identity, analytics, platform, telecom-group or infrastructure host.
www.nowe.hk	HOST	shared	excluded	https://www.clubsim.com.hk/static/js/main.b2f95a91.js	Referenced by a Club Sim official public script.	high	Shared identity, analytics, platform, telecom-group or infrastructure host.
www.pccw.com	HOST	shared	excluded	https://www.clubsim.com.hk/clsecomm/static/js/main.b92e0cbd.js	Referenced by a Club Sim official public script.	high	Shared identity, analytics, platform, telecom-group or infrastructure host.
www.tapngo.com.hk	HOST	shared	excluded	https://www.clubsim.com.hk/clsecomm/static/js/main.b92e0cbd.js	Referenced by a Club Sim official public script.	high	Shared identity, analytics, platform, telecom-group or infrastructure host.
www.theclub.com.hk	HOST	shared	excluded	https://www.clubsim.com.hk/clsecomm/static/js/main.b92e0cbd.js	Referenced by a Club Sim official public script.	high	Shared identity, analytics, platform, telecom-group or infrastructure host.
www.viu.com	HOST	shared	excluded	https://www.clubsim.com.hk/clsecomm/static/js/main.b92e0cbd.js	Referenced by a Club Sim official public script.	high	Shared identity, analytics, platform, telecom-group or infrastructure host.
www.w3.org	HOST	shared	excluded	https://www.clubsim.com.hk/clsecomm/static/js/main.b92e0cbd.js	Referenced by a Club Sim official public script.	high	Shared identity, analytics, platform, telecom-group or infrastructure host.
www.youtube-nocookie.com	HOST	shared	excluded	https://www.clubsim.com.hk/en/app.js	Referenced by a Club Sim official public script.	high	Shared identity, analytics, platform, telecom-group or infrastructure host.
www.youtube.com	HOST	shared	excluded	https://www.clubsim.com.hk/en/login	Referenced by a Club Sim official public page.	high	Shared identity, analytics, platform, telecom-group or infrastructure host.
