domain	rule_type	scope	status	source	evidence	risk	notes
microsoftcloudsummit.com	HOST-SUFFIX	historical	historical	https://raw.githubusercontent.com/v2fly/domain-list-community/master/data/bing	Event domain is unrelated to core Bing search	high	Excluded
microsoftdiplomados.com	HOST-SUFFIX	historical	historical	https://raw.githubusercontent.com/v2fly/domain-list-community/master/data/bing	Campaign domain is unrelated to core Bing search	high	Excluded
microsoftlatamholiday.com	HOST-SUFFIX	historical	historical	https://raw.githubusercontent.com/v2fly/domain-list-community/master/data/bing	Campaign domain is unrelated to core Bing search	high	Excluded
microsoftmxfilantropia.com	HOST-SUFFIX	historical	historical	https://raw.githubusercontent.com/v2fly/domain-list-community/master/data/bing	Campaign domain is unrelated to core Bing search	high	Excluded
microsoftpartnersolutions.com	HOST-SUFFIX	historical	historical	https://raw.githubusercontent.com/v2fly/domain-list-community/master/data/bing	Partner campaign domain is unrelated to core Bing search	high	Excluded
msunlimitedcloudsummit.com	HOST-SUFFIX	historical	historical	https://raw.githubusercontent.com/v2fly/domain-list-community/master/data/bing	Event domain is unrelated to core Bing search	high	Excluded
office365love.com	HOST-SUFFIX	historical	historical	https://raw.githubusercontent.com/v2fly/domain-list-community/master/data/bing	Office campaign domain is unrelated to core Bing search	high	Excluded
office365tw.com	HOST-SUFFIX	historical	historical	https://raw.githubusercontent.com/v2fly/domain-list-community/master/data/bing	Office campaign domain is unrelated to core Bing search	high	Excluded
r.bing.com	HOST-SUFFIX	main	confirmed	https://raw.githubusercontent.com/v2fly/domain-list-community/master/data/bing	Current Bing resource host is already covered by bing.com	low	Parent-covered; no redundant rule
renovacionoffice.com	HOST-SUFFIX	historical	historical	https://raw.githubusercontent.com/v2fly/domain-list-community/master/data/bing	Office campaign domain is unrelated to core Bing search	high	Excluded
sprinklesapp.com	HOST-SUFFIX	historical	historical	https://raw.githubusercontent.com/v2fly/domain-list-community/master/data/bing	Unrelated historical Microsoft app domain	high	Excluded
th.bing.com	HOST-SUFFIX	main	confirmed	https://raw.githubusercontent.com/v2fly/domain-list-community/master/data/bing	Current Bing image resource host is already covered by bing.com	low	Parent-covered; no redundant rule
